engine,scenario,accounts,threads,run,tps
LEAP-base,Hotspot30,1000,4,2,18993
LEAP-concat,Hotspot30,1000,4,2,17858
LEAP-interleave,Hotspot30,1000,4,2,18438
LEAP-base,Hotspot30,1000,8,0,33497
LEAP-concat,Hotspot30,1000,8,0,21127
LEAP-interleave,Hotspot30,1000,8,0,22916
LEAP-base,Hotspot30,1000,8,1,28923
LEAP-concat,Hotspot30,1000,8,1,21186
LEAP-interleave,Hotspot30,1000,8,1,22641
LEAP-base,Hotspot30,1000,8,2,29130
LEAP-concat,Hotspot30,1000,8,2,20979
LEAP-interleave,Hotspot30,1000,8,2,22442
LEAP-base,Hotspot30,1000,16,0,19219
LEAP-concat,Hotspot30,1000,16,0,22972
LEAP-interleave,Hotspot30,1000,16,0,25109
LEAP-base,Hotspot30,1000,16,1,18363
LEAP-concat,Hotspot30,1000,16,1,23143
LEAP-interleave,Hotspot30,1000,16,1,24831
LEAP-base,Hotspot30,1000,16,2,18763
LEAP-concat,Hotspot30,1000,16,2,22228
LEAP-interleave,Hotspot30,1000,16,2,23791
Serial,Hotspot30,10000,1,0,4992
Serial,Hotspot30,10000,1,1,4993
Serial,Hotspot30,10000,1,2,4994
LEAP-base,Hotspot30,10000,4,0,18970
LEAP-concat,Hotspot30,10000,4,0,18468
LEAP-interleave,Hotspot30,10000,4,0,19021
LEAP-base,Hotspot30,10000,4,1,18926
LEAP-concat,Hotspot30,10000,4,1,18915
LEAP-interleave,Hotspot30,10000,4,1,19051
LEAP-base,Hotspot30,10000,4,2,18966
LEAP-concat,Hotspot30,10000,4,2,18931
LEAP-interleave,Hotspot30,10000,4,2,19015
LEAP-base,Hotspot30,10000,8,0,30990
LEAP-concat,Hotspot30,10000,8,0,34981
LEAP-interleave,Hotspot30,10000,8,0,36189
LEAP-base,Hotspot30,10000,8,1,29154
LEAP-concat,Hotspot30,10000,8,1,35514
LEAP-interleave,Hotspot30,10000,8,1,35842
LEAP-base,Hotspot30,10000,8,2,30265
LEAP-concat,Hotspot30,10000,8,2,36232
LEAP-interleave,Hotspot30,10000,8,2,33819
LEAP-base,Hotspot30,10000,16,0,16173
LEAP-concat,Hotspot30,10000,16,0,43664
LEAP-interleave,Hotspot30,10000,16,0,44332
LEAP-base,Hotspot30,10000,16,1,15862
LEAP-concat,Hotspot30,10000,16,1,41594
LEAP-interleave,Hotspot30,10000,16,1,42281
LEAP-base,Hotspot30,10000,16,2,16825
LEAP-concat,Hotspot30,10000,16,2,45405
LEAP-interleave,Hotspot30,10000,16,2,47940
Serial,Hotspot50,2,1,0,4993
Serial,Hotspot50,2,1,1,4994
Serial,Hotspot50,2,1,2,4995
LEAP-base,Hotspot50,2,4,0,9482
LEAP-concat,Hotspot50,2,4,0,9325
LEAP-interleave,Hotspot50,2,4,0,9453
LEAP-base,Hotspot50,2,4,1,9430
LEAP-concat,Hotspot50,2,4,1,9394
LEAP-interleave,Hotspot50,2,4,1,9380
LEAP-base,Hotspot50,2,4,2,9445
LEAP-concat,Hotspot50,2,4,2,9498
LEAP-interleave,Hotspot50,2,4,2,9479
LEAP-base,Hotspot50,2,8,0,12134
LEAP-concat,Hotspot50,2,8,0,11510
LEAP-interleave,Hotspot50,2,8,0,12538
LEAP-base,Hotspot50,2,8,1,11869
LEAP-concat,Hotspot50,2,8,1,12044
LEAP-interleave,Hotspot50,2,8,1,11760
LEAP-base,Hotspot50,2,8,2,11389
LEAP-concat,Hotspot50,2,8,2,12125
LEAP-interleave,Hotspot50,2,8,2,11977
LEAP-base,Hotspot50,2,16,0,4818
LEAP-concat,Hotspot50,2,16,0,4807
LEAP-interleave,Hotspot50,2,16,0,4800
LEAP-base,Hotspot50,2,16,1,4781
LEAP-concat,Hotspot50,2,16,1,4819
LEAP-interleave,Hotspot50,2,16,1,4846
LEAP-base,Hotspot50,2,16,2,4802
LEAP-concat,Hotspot50,2,16,2,4793
LEAP-interleave,Hotspot50,2,16,2,4824
Serial,Hotspot50,10,1,0,4995
Serial,Hotspot50,10,1,1,4996
Serial,Hotspot50,10,1,2,4997
LEAP-base,Hotspot50,10,4,0,14733
LEAP-concat,Hotspot50,10,4,0,15591
LEAP-interleave,Hotspot50,10,4,0,15736
LEAP-base,Hotspot50,10,4,1,15637
LEAP-concat,Hotspot50,10,4,1,15450
LEAP-interleave,Hotspot50,10,4,1,15644
